bootstrap_iteration,ari_score
0,0.0016613139017585897
1,-0.0006610454584233548
2,-3.904073072994033e-05
3,-0.0028505646129421327
4,-0.0043071183973900275
5,-0.004208660362604387
6,0.0009447582041519802
7,0.009880215567436144
8,0.009472317994752774
9,-0.003882811152242385
10,0.0038688055546906197
11,0.0008627098418306128
12,0.00185979279727885
13,-0.0011658382399433872
14,0.003914127507210994
15,-0.009229238723697589
16,0.0005517074779839055
17,-0.0012478866022647547
18,0.010342812048333759
19,0.004398603551394307
20,-0.00032113081452054664
21,-0.0024543882348761013
22,-0.006282530396898761
23,-8.74883351482716e-05
24,0.012671422712311618
25,-0.003496793142844713
26,0.00273497532870677
27,0.0002446121790096444
28,0.004362658554567803
29,0.006586559879964106
30,0.008057960510927296
31,0.0013620327325292207
32,0.009310565509033506
33,-0.008975279506988593
34,-0.006505233094628187
35,-0.00237624693742718
36,-0.0038601501759821977
37,-0.0002812787528215967
38,-0.003739031164936369
39,0.007625057723060272
40,-3.904073072994033e-05
41,-0.0029732464499369394
42,0.0025990094711456466
43,-0.00637317430193951
44,0.005508209975168991
45,-0.00596605814223063
46,-0.000541489273326505
47,0.0004423096615554156
48,-0.002463765190569972
49,-0.002322329442187424
