expression_sample,clinical_sample,position,match_type,hash_signature
F87,GSM2528167,86,positional,ddd9241724e3837bdc0d59833c31735d
F88,GSM2528168,87,positional,949e93d2b3d978e60d01459684cd24fd
F89,GSM2528169,88,positional,ad45bc742f84e898e230cd3aa3a6f78e
F90,GSM2528170,89,positional,cc978ee62e949efad349c840977f1e4a
F91,GSM2528171,90,positional,a78874a57810706c21b75d0323f5196d
F92,GSM2528172,91,positional,c7d2fa71c02ce1f1215ed754ff0eed6f
F93,GSM2528173,92,positional,3ade35991deb8bdbc83f32f254da41cf
F94,GSM2528174,93,positional,c296bb8fd3f480ec142cda5b74df2e2e
F95,GSM2528175,94,positional,d941209be4f19d35c7f31f1713466e66
F96,GSM2528176,95,positional,11fe191811dd1f934f28c347d476a970
F97,GSM2528177,96,positional,2ae5504ed8b9d3fcb152cfc71b22611b
F98,GSM2528178,97,positional,c37a294004be337f877b437e40e22303
F99,GSM2528179,98,positional,0a0e7eb52b06bda9b7535981457afe37
F100,GSM2528180,99,positional,2bcee789a1c3c5df6db64ae8a98fa431
F101,GSM2528181,100,positional,0fd910c94b09a9f3e9555ad36962968b
F102,GSM2528182,101,positional,b54218cee7d434f587b3e0b9637420d1
F103,GSM2528183,102,positional,439e21cc544d9e125a2cd7df1f335ad8
F104,GSM2528184,103,positional,b230eb4ae75534265de2f78d21780cfa
F105,GSM2528185,104,positional,2935bd8b7f537a2831d39b3f9093cb90
F106,GSM2528186,105,positional,b9035d126f01eadfdae42ac7d2426dbf
F107,GSM2528187,106,positional,34d24acb97c497e4d949b8619c0f24b4
F108,GSM2528188,107,positional,38e73a96f4952aeebc454da253dc1e47
F109,GSM2528189,108,positional,79acddf4a168b815cdfee6a8086f3522
F110,GSM2528190,109,positional,5462bd695e3425e845d845283501cb83
F111,GSM2528191,110,positional,427024fa811c20f4b479a3e51bd52345
F112,GSM2528192,111,positional,288bea96b6130094af3b943e52740ff0
F113,GSM2528193,112,positional,0182433e9d803355417f2ca6678c2fbc
F114,GSM2528194,113,positional,5854b1e97e47ea29ff05ce86e638c735
F115,GSM2528195,114,positional,fea6514af741906a0697ff99ca0f57d2
F116,GSM2528196,115,positional,94122033c8b8d467f00141bad982fac8
F117,GSM2528197,116,positional,41f8f166b4be08d34d82951eab581795
F118,GSM2528198,117,positional,2f7f65a3ae3bb33cb1f6ed6b8296c077
F119,GSM2528199,118,positional,e5b41e3e288edeedfbd9d17567283aea
F120,GSM2528200,119,positional,042edce7d01f18e34ceb917f09c2ec50
F121,GSM2528201,120,positional,d8726a5e96cd61fc770ce50ee76cdb8c
F122,GSM2528202,121,positional,fdc95132edd3e52a1c459ed31b4eaf83
F123,GSM2528203,122,positional,011b65a42b75c17aaf0d06dbffedd076
F124,GSM2528204,123,positional,004d395ed8091e4f6aee38c02712365b
F125,GSM2528205,124,positional,c78f1b3c7c099208180754edc33c8711
F126,GSM2528206,125,positional,6f5aaddd8e7798945ca66d6b9bb1126c
F127,GSM2528207,126,positional,4dde63cf5a199a45fac3a4b6f904d35f
F128,GSM2528208,127,positional,ba94ad9e950076eb93026bb18679a82f
F129,GSM2528209,128,positional,e47854669e0c89ba3327916fb631c147
F130,GSM2528210,129,positional,c3fd5b286c917bde5a317b93b94d21b1
F131,GSM2528211,130,positional,9d1c75a7d6ab3a1575a37064eaec21c2
F132,GSM2528212,131,positional,ea04b71223b8a431897177f5cf3b804e
F133,GSM2528213,132,positional,5e5204520047228cff7b068cc26aa9f4
F134,GSM2528214,133,positional,42f7724bf0b4df05224c2826930b5791
F135,GSM2528215,134,positional,69a24642e03039b0c3cdca5b71c8ff50
F136,GSM2528216,135,positional,d1bad8f45f5db3e91b7319a851d7c5f0
F137,GSM2528217,136,positional,f2b7339a383ff5063bb7b366b35c9461
F138,GSM2528218,137,positional,e2997a7e4d07db56066524d1dd5fcca8
F139,GSM2528219,138,positional,53d465c575b4a0e89d7bc6173fce3fb2
F140,GSM2528221,139,positional,963dafca73aee1b5f1cf0fc103aa6913
F141,GSM2528222,140,positional,9a4d3ce70f23a81589a3bf4d93c58b73
F142,GSM2528223,141,positional,6a59ba9f1387ddf65c0bd6d4cfc68349
F143,GSM2528224,142,positional,1fd96185a0f35ac77c70cad1b8f15552
F144,GSM2528225,143,positional,3b1c32dc11b58df211d05d3654be38e2
F145,GSM2528226,144,positional,dd2053a5ab1ba0927d7dd5190800ccca
F146,GSM2528227,145,positional,827f52fbf51423703fd2b1fde6933742
F147,GSM2528228,146,positional,4ed96fff2054fbed9e21153ae66f3fa8
F148,GSM2528229,147,positional,8f8ee74479dcede03e1fb530fd609791
F149,GSM2528230,148,positional,5805c920a09186779005e82a5b1b50c9
F150,GSM2528231,149,positional,9651d2df376a4b0dcf67e349812f2c19
F151,GSM2528232,150,positional,0b2acb808546b27fa3816d24141ce227
F152,GSM2528233,151,positional,e3f2747413a3bc110c34603330590b21
F153,GSM2528234,152,positional,458f542b82bb6ac5db173ce9a884b3ab
F154,GSM2528235,153,positional,23fde24a71fa286d86f2a11f784439c9
F155,GSM2528236,154,positional,fab046713a57f647564558c523e1412c
F156,GSM2528237,155,positional,bb79a973e5b976f28a8d8d9307225ebd
F157,GSM2528238,156,positional,995c0a77c8a5d3ebf17bc28a2efdf660
F158,GSM2528239,157,positional,180d5371967eb1115650f45719957dc4
F159,GSM2528240,158,positional,48a21160364b59d1305bf50562609ed1
F160,GSM2528241,159,positional,dd543db8abf3a83387367c013b4ef19c
F161,GSM2528242,160,positional,a2a7f6ff0dad153b25cf425fe5d52ad4
F162,GSM2528243,161,positional,da665462266db0544500b67f2a351581
F163,GSM2528244,162,positional,7658b9f56ce4dbac3e83d9384c09e0ef
F164,GSM2528245,163,positional,52fad1332c24c0a73dc07b4751dde92c
F165,GSM2528246,164,positional,f3b6955cd8a720c4c71d0990a80dc6ad
F166,GSM2528247,165,positional,ec9f2e1999d25d47a517fce8b88fa21a
F167,GSM2528248,166,positional,f8e74be651e3ae14ffd5ba0aac847231
F168,GSM2528249,167,positional,6d9ddf85cb4c90a76d755b60a0b597e7
F169,GSM2528250,168,positional,7fba902ab0818fcf9c5edf4dcf09aca4
F170,GSM2528251,169,positional,7a086b79a89f1b39430fc3c53ab53e0b
F171,GSM2528252,170,positional,72193ef8ad06f77c461963800e7a4d47
F172,GSM2528253,171,positional,bbeb6635b1949181c8db6d39239e9e5d
F173,GSM2528254,172,positional,f1dd1ef3200222c30b1e5146964c4567
F174,GSM2528255,173,positional,2c3e75523571cc9c7ae02d162f412269
