Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Mineral absorption,1/60,0.1265912923641668,0.2128983280990478,0,0,7.664098613251156,15.840094270101874,SLC34A2
KEGG_2021_Human,PPAR signaling pathway,1/74,0.1537939887986985,0.2128983280990478,0,0,6.189912826899128,11.588391491255946,FABP7
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",1/106,0.2128983280990478,0.2128983280990478,0,0,4.296536796536796,6.646487038527603,SLC34A2
