thresholds,n_edges,graph_density,avg_degree,n_connected_components
0.1,5808936,100.0,3408.0,1
0.2,5808936,100.0,3408.0,1
0.3,5808935,99.99998278514343,3407.9994133176883,1
0.4,5808199,99.98731265071606,3407.5676151364037,1
0.5,5782906,99.55189728377107,3392.728659430918,1
0.6,5264664,90.63043559095848,3088.6852449398652,1
0.7,2385909,41.073081197658226,1399.7706072161925,20
0.8,23127,0.3981279876383558,13.568201818715165,1917
0.9,5,8.607428279464605e-05,0.002933411557641537,3404
